experiment,program_role,branch,disposition,evidence_class,authority_commit,source_commit,evidence_or_review_commit,artifact_path,artifact_sha256,headline_effect,claim_boundary,plot_group,plot_order,plot_color
Exp04,online separate memory,feat/memory-unfixed-ablation,ACCEPTED_INDICATIVE,synthetic causal,0c6bae9c5dd64f6bbf0641eaba262ea793c2dd4c,9369114fc5dffa32b00866526d2bf82b71ab7bd8,c036cd7cdde1cec0d0dfbe47c862fb6c455f257f,results/exp04-unfixed-memory-indicative-v2/derived/evidence-manifest.json,ecb7eed6c3f39aaff144857d8a5c014c32ecfd2572e9e00999c2b73f275f8b97,"LIVE_SEPARATE minus FIXED_M5 correctness +0.5534; 95% +0.5039 to +0.6003; n_eff 64","Frozen synthetic generator/controller only; not perception, production memory, robot, or generalization evidence",accepted bounded evidence,1,#287a5f
Exp05,typed twin and live-belief boundary,integration/autonomous-run,ACCEPTED_PRELIMINARY,engineering,be3397bf80b99a6c47b7937fca85369804d64052,0400c03e2d9cfbf16a4e2a16866fbd012c3e1ebd,37b907d69b1a5625117cf732c9ff7e1b06f516b7,results/indicative-twin-hierarchy-synthesis/evidence_manifest.json,0877d8fa264c2beede6316e1192d2c14a321daaf278e0de966a4dd1351dd77cd,"Pooled T3 minus T2 success +37.50 pp; descriptive two-run cluster interval +34.12 to +40.88 pp","Preliminary synthetic engineering association; individual-layer causality and three-level recovery not established",accepted bounded evidence,1,#287a5f
Exp10,storage by trigger factorial,feat/storage-trigger-factorial,ACCEPTED_ENGINEERING,engineering,b92a90f3bd2c6fb04132fce7093b99c2204fb580,11fb66828c2b6f630f28c60d58073c9a670cf490,4a570e1be002808f9330507ef06f9485acad0e12,experiments/10_storage_trigger/STORAGE_TRIGGER_FACTORIAL_V2R2_RESULT.md,1f02f4ef6634b30bae3b30e1cdd7bce857c4193094dc9afde3547e3bea2b3a6c,"Under periodic triggering LIVE_EPISODIC minus FIXED_SNAPSHOT completion +0.75000000","Synthetic white-box typed oracle only; not VLA, robot, or population evidence",accepted bounded evidence,1,#287a5f
Exp11,trigger robustness dose response,feat/trigger-robustness-dose-response,ACCEPTED_ENGINEERING,engineering,2c3ffa19a4ead0cbb9e35c87579b38cb895b0d6a,e1cd3b3fff900ee8bf7dfa4b61bb46a04a6b286e,ffc27b827fbb8c745d6376aa34ae5d9f68c15e16,experiments/11_trigger_robustness/TRIGGER_ROBUSTNESS_V2_RESULT.md,790a62f00d96d5755a39dee4ffe366faf97109d3850f7e61d5a2ac1bed7cab8d,"28 preregistered effects x 3 outcomes; 84/84 gates passed; n_eff 12","Synthetic typed-oracle trigger engineering only; prompt completion contrasts zero; not VLA or robot evidence",accepted bounded evidence,1,#287a5f
Exp12,appearance-to-geometry transfer,experiment-opaque-glass-transfer,ACCEPTED_INDICATIVE,synthetic causal,df42bf85e0e450e7630f9d572630a289072a268a,f0bd0ca6d4affe0e9ecc6eff392f81cb53247512,2b9fd5090f16d52d0307e1a4081a7f8908bcaa54,experiments/12_opaque_glass_transfer/RESULT-V3.md,669d4c8e24fd55e0c183b9c6f42d4287de181b559db3290f6d38a3d537235ec8,"Glass-like safe completion RGB-only 0/12 versus RGB-D and hierarchy 12/12; n_eff 12","Toy rendered MuJoCo transfer only; no real glass claim and no hierarchy advantage over RGB-D motion",accepted bounded evidence,1,#287a5f
Exp16,typed route-boundary replication,feat/exp16-route-boundary,ACCEPTED_BOUNDED_DIRECT_REPLICATION,synthetic confirmatory,97c6d00dc8ca0725e24c70a220173185329dfc16,2c0d69dc0fb387730864c9f51cf8315dabd73598,2ae90cf4c37704e14ae609512dc5f65c49d98f72,reports/evidence/exp16-route-boundary-replication-v1/pack-manifest.json,d32e2b8ffaad8cb3c07f64f12e597d4790d1eb4b528ecd68f6bf7e83898bf734,"P6 R3 minus R2: success 0 [0,0]; progress -7.17e-9 [-4.315e-8,+3.593e-8]; safety violation 0 [0,0]; wakes -0.673333 [-0.706667,-0.646667]; n_eff 10; P4 minus P6 success -0.35 [-0.40,-0.30]; n_eff 5","Preregistered scripted MuJoCo matrix only; 524 COMPLETE/16 preregistered IK NOT_RUN/0 invalid; one portable working sample and registered nonworking category explicitly absent; no hierarchy success advantage, causal-lowest, VLA, real-robot, or generalization claim",accepted bounded evidence,1,#287a5f
Exp13,direct hierarchy outcomes,feat/exp13-direct-hierarchy,APPROVED_EXPLORATORY_PORTABLE,exploratory portable,374cb836776675bbcb7232ce8082309eab4f1432,59753c28354307e55dc46e0e957f8eefab5e5a4f,374cb836776675bbcb7232ce8082309eab4f1432,reports/evidence/exp13-direct-hierarchy-v3/pack-manifest.json,d311b5224142a9aa8fb57615ac16fc50978532f1a314aa7710a50ff97e8bb4b1,"R3 minus R2 success -0.0100; equal-seed 95% -0.0300 to 0; n_eff 10; P4 minus P6 success -0.357576; n_eff 5","Portable compact pack approved only within formal INVALID_EXPERIMENT / EXPLORATORY_PHYSICAL_HIERARCHY_SIGNAL scope; full 1.3 GB raw remains local-only; no confirmatory or causal-lowest claim",approved bounded invalid archives,2,#c68a2b
Exp15-V2,clean direct hierarchy replication,feat/exp15-clean-replication,APPROVED_ARCHIVE_INVALID_EXPERIMENT,descriptive portable,7979e232c429399f07fce4bc53784f9a9bbef84f,a15880555d88504c687b61f00363ee9f69c5d042,b7005915f3b1bb00979ec41b997d3859d78927ec,reports/evidence/exp15-direct-hierarchy-replication-v2/pack-manifest.json,64b4f40891a7a9c82c4734faa59a926236c2b09d8b2aa7fb160f677bd4e24953,"Directional P6 R3 minus R2 success -0.00909 and wakes -0.67576; n_eff 10; all numeric gates pass","Authenticated reconstructable archive but formal INVALID_EXPERIMENT due three P4 runtime exceptions; safety_rate column means violation rate; descriptive only",approved bounded invalid archives,2,#c68a2b
Exp14,mission-space ceiling screen,exp14-mission-ceiling,REJECTED_EVIDENCE_AUTH,rejected,52fb19b883e41434dc73379b19b41a96b7c487c7,23a300fc643da1bc1c65a3bab352448e20b3f8a1,52fb19b883e41434dc73379b19b41a96b7c487c7,experiments/14_mission_ceiling/REVIEW.md,72716ea307a48922d40ef0c36357de5ae02c7602f472c48e04b51061a92d03a6,"Descriptive replay only: full minus open completion +0.1866319; n_eff 12","No qualification or mechanism claim; live-memory and lower-recovery behavior identical in all 2304 pairs",rejected,3,#b74f4f
Exp09-pi0.5,external model semantic interface,feat/pi05-semantic-interface-probe,NOT_RUN,not run,914fd12532a46ddbaed3fef66c8e10fae8596c8e,4ceb39c783404e4a5778942480ae8fa49d05b098,914fd12532a46ddbaed3fef66c8e10fae8596c8e,experiments/09_mini_reflect/results/pi05-semantic-interface-feasibility-v2/evidence-manifest.json,cf380674ffc773697b17b9cfb2cfb607235a4c0c00872f05cfc4f5327fb0c2f0,"Public transport contract statically closes to 15x8 actions; model inference NOT_RUN","No checkpoint download, forward pass, semantic plan, model-quality outcome, or physical execution",not run,4,#667085
