run,seed,mission,case_sha256,event_stratum,event_count,event_types_json,event_payloads_json,history_present,history_event_count,instruction,case_source_path,contrast,higher_variant,lower_variant,higher_success,lower_success,paired_success_difference,higher_outcome_sha256,lower_outcome_sha256
a,80,INSPECT_NEAREST_COOLANT,f8d169ab5ef18c97682aad01abccdeb785a79594298b4c6e766f2cdfbad6888b,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl,T3-T2,T3,T2,1,1,0,f9405f1163321e7221964d63b27502b900cf765be9813b84facc32b1ab90ae69,61d4d282882d2c050739e9256ca3418108c8fbbe0f516700ca552afa6309cd3e
a,80,INSPECT_NEAREST_COOLANT,f8d169ab5ef18c97682aad01abccdeb785a79594298b4c6e766f2cdfbad6888b,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl,T4-T3,T4,T3,1,1,0,8df3f7c507868cdea9e3020efc8b350d6c5cca95bfe60d7c138287a704c56e91,f9405f1163321e7221964d63b27502b900cf765be9813b84facc32b1ab90ae69
a,80,INSPECT_VALVE7_WITH_ALTERNATE,1c621a3b5f1cd765041998618c5eefedb8bae8841a00c316c29e163185d6b821,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl,T3-T2,T3,T2,0,0,0,3eb6f851a9270c6a8f9ffd05360b945117a93a8ad93d3cd2a040895089c1d2d7,93c60579a6aca9e33b97e13c343ef9d9c4e433a99befe92a3473ab2fd98b9654
a,80,INSPECT_VALVE7_WITH_ALTERNATE,1c621a3b5f1cd765041998618c5eefedb8bae8841a00c316c29e163185d6b821,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl,T4-T3,T4,T3,0,0,0,5b5b90d81b25fa563600aa66bc5d37ee4f2d87f3d86b6ff215918838d83c66e4,3eb6f851a9270c6a8f9ffd05360b945117a93a8ad93d3cd2a040895089c1d2d7
a,80,REACH_PUMP2_WITH_RECHARGE,23d23019f08fc2b4dc1bddf71a09e57e6310d8e81e31c6617c082aa66bf4b928,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",false,0,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl,T3-T2,T3,T2,0,0,0,ee57ffa074d6328e0fac6d656033f5a4321b4188111d8f82228563a2b88d1734,afb1830d55b5f2c32711b8f9f3163f2113985bf9701e85bb285a688000599f86
a,80,REACH_PUMP2_WITH_RECHARGE,23d23019f08fc2b4dc1bddf71a09e57e6310d8e81e31c6617c082aa66bf4b928,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",false,0,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl,T4-T3,T4,T3,0,0,0,5a22dbbaada21c10725017ad06bdfe462b8dcb7ab471c66baabf9cb910e05420,ee57ffa074d6328e0fac6d656033f5a4321b4188111d8f82228563a2b88d1734
a,80,REPLAN_ON_RESTRICTION,78c0356b3bb6ca60b55d65aeae3f68f93b0b9f38287a7b351ff8e7d2b0ffc159,INSTRUCTION_CHANGED+ROOM_RESTRICTED+ROUTE_BLOCKED,3,"[""ROUTE_BLOCKED"",""INSTRUCTION_CHANGED"",""ROOM_RESTRICTED""]","[""UNAVAILABLE"",""AVOID_ROOM:ElectricalRoom"",""RESTRICTED""]",true,1,Inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl,T3-T2,T3,T2,0,0,0,69c6c115c0b6637f0e6b05ce2a1b8a78d2696fd3ac089c44037b9074e7a09455,faac92a0d76d3e5e26c3ddc2fca2125f2b8f6eae2a187b89242ae6844887b2c0
a,80,REPLAN_ON_RESTRICTION,78c0356b3bb6ca60b55d65aeae3f68f93b0b9f38287a7b351ff8e7d2b0ffc159,INSTRUCTION_CHANGED+ROOM_RESTRICTED+ROUTE_BLOCKED,3,"[""ROUTE_BLOCKED"",""INSTRUCTION_CHANGED"",""ROOM_RESTRICTED""]","[""UNAVAILABLE"",""AVOID_ROOM:ElectricalRoom"",""RESTRICTED""]",true,1,Inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl,T4-T3,T4,T3,0,0,0,3ccbaf6baf9208655ba19cdec953e973b4f812d3a3f88c78c373d220b9297d47,69c6c115c0b6637f0e6b05ce2a1b8a78d2696fd3ac089c44037b9074e7a09455
a,80,STORE_CARRIED_TOOL,96b80570d9acbe5d50c4c19d80e4726c45d40615d0616507203bf5f1e2e359e3,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",false,0,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl,T3-T2,T3,T2,1,1,0,3a4e64c5c60e7cc31afadcf9df4b6a678dd791a3ec4781dd2b20f6e527f3c6b6,1f5142e0ed096398bc0e70839aa6256e1aa2ebdb1cb28f346a9d6e71fc73ef03
a,80,STORE_CARRIED_TOOL,96b80570d9acbe5d50c4c19d80e4726c45d40615d0616507203bf5f1e2e359e3,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",false,0,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl,T4-T3,T4,T3,1,1,0,9906ef38955788a19741a415f6331005fbb0a8e9bd5ee17f80d87cf34e6edcb9,3a4e64c5c60e7cc31afadcf9df4b6a678dd791a3ec4781dd2b20f6e527f3c6b6
