run,seed,mission,case_sha256,event_stratum,event_count,event_types_json,event_payloads_json,history_present,history_event_count,instruction,case_source_path,variant,outcome_sha256,success,terminal_reason,target_id,invalid_initial_plan,forbidden_region_violations,invalid_affordance_choices,replanned,stale_belief_failures,replanning_latency_us,route_cost_m,context_fact_count,geometry_query_count,semantic_query_count,planning_operations,initial_route_json,final_route_json,actions_json,outcome_source_path
a,80,INSPECT_NEAREST_COOLANT,f8d169ab5ef18c97682aad01abccdeb785a79594298b4c6e766f2cdfbad6888b,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl,T0,98c0af859caae9bc3c62dfebb841ce92cd8df502136086e2631d58234d0d5b43,false,INVALID_AFFORDANCE,ToolCabinetLobby,false,0,1,false,0,0,0.0,15,1,0,1,"[""Lobby"",""Lobby""]","[""Lobby"",""Lobby""]","[""TRAVERSE:Lobby"",""FAIL:INVALID_AFFORDANCE""]",results/indicative-twin-hierarchy-a/raw/outcomes.jsonl
a,80,INSPECT_NEAREST_COOLANT,f8d169ab5ef18c97682aad01abccdeb785a79594298b4c6e766f2cdfbad6888b,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl,T1,e7519934efb6d25779b4488c965a5209f69f9eff5198169ac967f9d95eccb180,false,INVALID_AFFORDANCE,ToolCabinetLobby,false,0,1,true,0,7,0.0,21,1,0,2,"[""Lobby""]","[""Lobby""]","[""INSTRUCTION_APPLIED:AVOID_ROOM:ElectricalRoom"",""FAIL:INVALID_AFFORDANCE""]",results/indicative-twin-hierarchy-a/raw/outcomes.jsonl
a,80,INSPECT_NEAREST_COOLANT,f8d169ab5ef18c97682aad01abccdeb785a79594298b4c6e766f2cdfbad6888b,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl,T2,61d4d282882d2c050739e9256ca3418108c8fbbe0f516700ca552afa6309cd3e,true,SUCCESS,Valve3,false,0,0,true,0,28,10.0,13,1,1,10,"[""Lobby"",""CorridorA"",""PumpRoom""]","[""Lobby"",""CorridorA"",""PumpRoom""]","[""INSTRUCTION_APPLIED:AVOID_ROOM:ElectricalRoom"",""TRAVERSE:CorridorA"",""TRAVERSE:PumpRoom"",""ACT:Valve3""]",results/indicative-twin-hierarchy-a/raw/outcomes.jsonl
a,80,INSPECT_NEAREST_COOLANT,f8d169ab5ef18c97682aad01abccdeb785a79594298b4c6e766f2cdfbad6888b,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl,T3,f9405f1163321e7221964d63b27502b900cf765be9813b84facc32b1ab90ae69,true,SUCCESS,Valve3,false,0,0,true,0,28,10.0,15,1,1,10,"[""Lobby"",""CorridorA"",""PumpRoom""]","[""Lobby"",""CorridorA"",""PumpRoom""]","[""INSTRUCTION_APPLIED:AVOID_ROOM:ElectricalRoom"",""TRAVERSE:CorridorA"",""TRAVERSE:PumpRoom"",""ACT:Valve3""]",results/indicative-twin-hierarchy-a/raw/outcomes.jsonl
a,80,INSPECT_NEAREST_COOLANT,f8d169ab5ef18c97682aad01abccdeb785a79594298b4c6e766f2cdfbad6888b,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl,T4,8df3f7c507868cdea9e3020efc8b350d6c5cca95bfe60d7c138287a704c56e91,true,SUCCESS,Valve3,false,0,0,true,0,28,10.0,16,1,1,10,"[""Lobby"",""CorridorA"",""PumpRoom""]","[""Lobby"",""CorridorA"",""PumpRoom""]","[""INSTRUCTION_APPLIED:AVOID_ROOM:ElectricalRoom"",""TRAVERSE:CorridorA"",""TRAVERSE:PumpRoom"",""ACT:Valve3""]",results/indicative-twin-hierarchy-a/raw/outcomes.jsonl
a,80,INSPECT_VALVE7_WITH_ALTERNATE,1c621a3b5f1cd765041998618c5eefedb8bae8841a00c316c29e163185d6b821,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl,T0,ad90e8b7623f5ac233fcbf85a273dec62c5f5b809ff8affc13eea7c5bb93eda9,false,GEOMETRY_COLLISION,Valve7,true,0,0,false,0,0,10.969803595435955,15,1,0,1,"[""Lobby"",""RestrictedLab""]","[""Lobby"",""RestrictedLab""]","[""TRAVERSE:RestrictedLab"",""FAIL:GEOMETRY_COLLISION""]",results/indicative-twin-hierarchy-a/raw/outcomes.jsonl
a,80,INSPECT_VALVE7_WITH_ALTERNATE,1c621a3b5f1cd765041998618c5eefedb8bae8841a00c316c29e163185d6b821,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl,T1,a43e8de965ac05193978bf46c7a565177475858bd748687f30975371bcff5cab,false,BLOCKED_EDGE,Valve7,true,0,0,true,0,35,11.0,21,1,0,12,"[""Lobby"",""CorridorA"",""RestrictedLab""]","[""Lobby"",""CorridorA"",""RestrictedLab""]","[""INSTRUCTION_APPLIED:AVOID_ROOM:ElectricalRoom"",""TRAVERSE:CorridorA"",""TRAVERSE:RestrictedLab"",""FAIL:BLOCKED_EDGE""]",results/indicative-twin-hierarchy-a/raw/outcomes.jsonl
a,80,INSPECT_VALVE7_WITH_ALTERNATE,1c621a3b5f1cd765041998618c5eefedb8bae8841a00c316c29e163185d6b821,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl,T2,93c60579a6aca9e33b97e13c343ef9d9c4e433a99befe92a3473ab2fd98b9654,false,BLOCKED_EDGE,Valve7,true,0,0,true,0,35,11.0,13,1,1,12,"[""Lobby"",""CorridorA"",""RestrictedLab""]","[""Lobby"",""CorridorA"",""RestrictedLab""]","[""INSTRUCTION_APPLIED:AVOID_ROOM:ElectricalRoom"",""TRAVERSE:CorridorA"",""TRAVERSE:RestrictedLab"",""FAIL:BLOCKED_EDGE""]",results/indicative-twin-hierarchy-a/raw/outcomes.jsonl
a,80,INSPECT_VALVE7_WITH_ALTERNATE,1c621a3b5f1cd765041998618c5eefedb8bae8841a00c316c29e163185d6b821,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl,T3,3eb6f851a9270c6a8f9ffd05360b945117a93a8ad93d3cd2a040895089c1d2d7,false,NO_ROUTE,Valve7,false,0,0,true,0,21,0.0,15,1,1,10,"[""Lobby"",""ElectricalRoom"",""RestrictedLab""]",[],"[""INSTRUCTION_APPLIED:AVOID_ROOM:ElectricalRoom"",""FAIL:NO_ROUTE""]",results/indicative-twin-hierarchy-a/raw/outcomes.jsonl
a,80,INSPECT_VALVE7_WITH_ALTERNATE,1c621a3b5f1cd765041998618c5eefedb8bae8841a00c316c29e163185d6b821,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl,T4,5b5b90d81b25fa563600aa66bc5d37ee4f2d87f3d86b6ff215918838d83c66e4,false,NO_ROUTE,Valve7,false,0,0,true,0,21,0.0,16,1,1,10,"[""Lobby"",""ElectricalRoom"",""RestrictedLab""]",[],"[""INSTRUCTION_APPLIED:AVOID_ROOM:ElectricalRoom"",""FAIL:NO_ROUTE""]",results/indicative-twin-hierarchy-a/raw/outcomes.jsonl
