run,seed,mission,case_sha256,event_stratum,event_count,event_types_json,event_payloads_json,history_present,history_event_count,instruction,case_source_path
a,80,INSPECT_NEAREST_COOLANT,f8d169ab5ef18c97682aad01abccdeb785a79594298b4c6e766f2cdfbad6888b,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,80,INSPECT_VALVE7_WITH_ALTERNATE,1c621a3b5f1cd765041998618c5eefedb8bae8841a00c316c29e163185d6b821,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,80,REACH_PUMP2_WITH_RECHARGE,23d23019f08fc2b4dc1bddf71a09e57e6310d8e81e31c6617c082aa66bf4b928,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",false,0,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,80,REPLAN_ON_RESTRICTION,78c0356b3bb6ca60b55d65aeae3f68f93b0b9f38287a7b351ff8e7d2b0ffc159,INSTRUCTION_CHANGED+ROOM_RESTRICTED+ROUTE_BLOCKED,3,"[""ROUTE_BLOCKED"",""INSTRUCTION_CHANGED"",""ROOM_RESTRICTED""]","[""UNAVAILABLE"",""AVOID_ROOM:ElectricalRoom"",""RESTRICTED""]",true,1,Inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,80,STORE_CARRIED_TOOL,96b80570d9acbe5d50c4c19d80e4726c45d40615d0616507203bf5f1e2e359e3,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",false,0,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,81,INSPECT_NEAREST_COOLANT,5e5f575ea07a123e20acb26e6d5390aeaa7cf4d0065903bf512c2928eb9e0220,NONE,0,[],[],true,2,Safely inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,81,INSPECT_VALVE7_WITH_ALTERNATE,263fd620587bf8f788c734cb9dcc34ce2554b715bc6adbda677397013288af93,NONE,0,[],[],false,0,"Safely inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,81,REACH_PUMP2_WITH_RECHARGE,49b433e9746bac9fe37e28e1f790edbf3fd34d4d2edd6b45ffa6bb0d2fa60e20,NONE,0,[],[],true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,81,REPLAN_ON_RESTRICTION,dacf0d6509a989767dddac2934abca9a757962259e90be7605883ab310f89f6d,ROOM_RESTRICTED,1,"[""ROOM_RESTRICTED""]","[""RESTRICTED""]",true,2,Safely inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,81,STORE_CARRIED_TOOL,6d227536bcb44508df96548c221135ae6408f886528ce6a26cd47f5c4d918f9a,NONE,0,[],[],true,2,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,82,INSPECT_NEAREST_COOLANT,5aacfa8c9dc7d33e09363556cef7e53fe397aa40f2c396c97b76572396c09c43,NONE,0,[],[],true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,82,INSPECT_VALVE7_WITH_ALTERNATE,d63e2b6b319d75e0206bc3f4f597afd61a8d807e90c4d94527cf4760eea206b1,NONE,0,[],[],false,0,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,82,REACH_PUMP2_WITH_RECHARGE,199aafd2f0e5e7af1dce4fc54fe29923acdf4bdf054f3d1a44e47dd45ad805fe,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,82,REPLAN_ON_RESTRICTION,0fecd6f57de28a23b60b3c6025906ab692f57dcf6aedf385f890cc48e8a86879,ROOM_RESTRICTED+ROUTE_BLOCKED,2,"[""ROUTE_BLOCKED"",""ROOM_RESTRICTED""]","[""UNAVAILABLE"",""RESTRICTED""]",false,0,Inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,82,STORE_CARRIED_TOOL,2d2782ee8239f292adc1a00e376e84a391d6c40d238e0dff9ffc110bf02b4c83,NONE,0,[],[],true,1,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,83,INSPECT_NEAREST_COOLANT,66c7caffcea9e7a140ff1030d860974f3a6de24dc14cfa9ad01eca5af87dae4b,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",true,1,Safely inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,83,INSPECT_VALVE7_WITH_ALTERNATE,e65c526df3d8d6ee0ad5d5167353919f7691244174abbb945c40cd4b2f64c26e,NONE,0,[],[],false,0,"Safely inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,83,REACH_PUMP2_WITH_RECHARGE,1b255bcf15a792d35c0da28036d09c7d14b63ef5447bc605b622c90dcb0adbd1,NONE,0,[],[],true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,83,REPLAN_ON_RESTRICTION,a47a44736fb94e596252a2c925fcc192c235d891eb953ed4ed27c6118c6d2523,ROOM_RESTRICTED+ROUTE_BLOCKED,2,"[""ROUTE_BLOCKED"",""ROOM_RESTRICTED""]","[""UNAVAILABLE"",""RESTRICTED""]",true,1,Safely inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
