agent,horizon,mission,seed,variant,action_cost,memory_staleness,mission_complete,progress,retries,safe,semantic_replans,steps,episode_id
open_loop,4,parcel,8401,baseline,4.0,1.5,True,1.0,0,True,0,4,00000-s8401-parcel-h4-baseline-open_loop
live_memory,4,parcel,8401,baseline,4.0,0.0,True,1.0,0,True,0,4,00001-s8401-parcel-h4-baseline-live_memory
lower_recovery,4,parcel,8401,baseline,4.0,0.0,True,1.0,0,True,0,4,00002-s8401-parcel-h4-baseline-lower_recovery
full_hierarchy,4,parcel,8401,baseline,4.0,0.0,True,1.0,0,True,0,4,00003-s8401-parcel-h4-baseline-full_hierarchy
open_loop,4,parcel,8401,route,4.0,1.5,False,0.3333333333333333,0,True,0,4,00004-s8401-parcel-h4-route-open_loop
live_memory,4,parcel,8401,route,4.0,0.0,False,0.3333333333333333,0,True,0,4,00005-s8401-parcel-h4-route-live_memory
lower_recovery,4,parcel,8401,route,4.75,0.0,False,0.3333333333333333,3,True,0,4,00006-s8401-parcel-h4-route-lower_recovery
full_hierarchy,4,parcel,8401,route,4.75,0.0,False,0.3333333333333333,3,True,0,4,00007-s8401-parcel-h4-route-full_hierarchy
open_loop,4,parcel,8401,topology,4.0,1.5,False,0.6666666666666666,0,True,0,4,00008-s8401-parcel-h4-topology-open_loop
live_memory,4,parcel,8401,topology,4.0,0.0,False,0.6666666666666666,0,True,0,4,00009-s8401-parcel-h4-topology-live_memory
lower_recovery,4,parcel,8401,topology,4.0,0.0,False,0.6666666666666666,0,True,0,4,00010-s8401-parcel-h4-topology-lower_recovery
full_hierarchy,4,parcel,8401,topology,4.0,0.0,False,0.6666666666666666,0,True,0,4,00011-s8401-parcel-h4-topology-full_hierarchy
open_loop,4,parcel,8401,constraint,4.0,1.5,True,1.0,0,False,0,4,00012-s8401-parcel-h4-constraint-open_loop
live_memory,4,parcel,8401,constraint,4.0,0.0,True,1.0,0,False,0,4,00013-s8401-parcel-h4-constraint-live_memory
lower_recovery,4,parcel,8401,constraint,4.0,0.0,True,1.0,0,False,0,4,00014-s8401-parcel-h4-constraint-lower_recovery
full_hierarchy,4,parcel,8401,constraint,4.75,0.0,False,0.3333333333333333,3,True,0,4,00015-s8401-parcel-h4-constraint-full_hierarchy
open_loop,4,parcel,8401,disturbance,4.0,1.5,False,0.3333333333333333,0,True,0,4,00016-s8401-parcel-h4-disturbance-open_loop
live_memory,4,parcel,8401,disturbance,4.0,0.0,False,0.3333333333333333,0,True,0,4,00017-s8401-parcel-h4-disturbance-live_memory
lower_recovery,4,parcel,8401,disturbance,4.0,0.0,False,0.3333333333333333,0,True,0,4,00018-s8401-parcel-h4-disturbance-lower_recovery
full_hierarchy,4,parcel,8401,disturbance,4.0,0.0,False,0.3333333333333333,0,True,0,4,00019-s8401-parcel-h4-disturbance-full_hierarchy
open_loop,4,parcel,8401,intervention,4.0,1.5,False,0.3333333333333333,0,True,0,4,00020-s8401-parcel-h4-intervention-open_loop
live_memory,4,parcel,8401,intervention,4.0,0.0,False,0.3333333333333333,0,True,0,4,00021-s8401-parcel-h4-intervention-live_memory
lower_recovery,4,parcel,8401,intervention,4.25,0.0,False,0.3333333333333333,1,True,0,4,00022-s8401-parcel-h4-intervention-lower_recovery
full_hierarchy,4,parcel,8401,intervention,4.5,0.0,True,1.0,0,True,1,4,00023-s8401-parcel-h4-intervention-full_hierarchy
open_loop,4,parcel,8401,paraphrase,4.0,1.5,False,0.0,0,True,0,4,00024-s8401-parcel-h4-paraphrase-open_loop
live_memory,4,parcel,8401,paraphrase,4.0,0.0,True,1.0,0,True,0,4,00025-s8401-parcel-h4-paraphrase-live_memory
lower_recovery,4,parcel,8401,paraphrase,4.0,0.0,True,1.0,0,True,0,4,00026-s8401-parcel-h4-paraphrase-lower_recovery
full_hierarchy,4,parcel,8401,paraphrase,4.0,0.0,True,1.0,0,True,0,4,00027-s8401-parcel-h4-paraphrase-full_hierarchy
open_loop,4,parcel,8401,novelty,4.0,1.5,False,0.3333333333333333,0,True,0,4,00028-s8401-parcel-h4-novelty-open_loop
live_memory,4,parcel,8401,novelty,4.0,0.0,False,0.3333333333333333,0,True,0,4,00029-s8401-parcel-h4-novelty-live_memory
lower_recovery,4,parcel,8401,novelty,4.75,0.0,False,0.3333333333333333,3,True,0,4,00030-s8401-parcel-h4-novelty-lower_recovery
full_hierarchy,4,parcel,8401,novelty,4.0,0.0,False,0.6666666666666666,0,True,0,4,00031-s8401-parcel-h4-novelty-full_hierarchy
open_loop,8,parcel,8401,baseline,6.0,2.5,True,1.0,0,True,0,6,00032-s8401-parcel-h8-baseline-open_loop
live_memory,8,parcel,8401,baseline,6.0,0.0,True,1.0,0,True,0,6,00033-s8401-parcel-h8-baseline-live_memory
lower_recovery,8,parcel,8401,baseline,6.0,0.0,True,1.0,0,True,0,6,00034-s8401-parcel-h8-baseline-lower_recovery
full_hierarchy,8,parcel,8401,baseline,6.0,0.0,True,1.0,0,True,0,6,00035-s8401-parcel-h8-baseline-full_hierarchy
open_loop,8,parcel,8401,route,8.0,3.5,False,0.3333333333333333,0,True,0,8,00036-s8401-parcel-h8-route-open_loop
live_memory,8,parcel,8401,route,8.0,0.0,False,0.3333333333333333,0,True,0,8,00037-s8401-parcel-h8-route-live_memory
lower_recovery,8,parcel,8401,route,9.5,0.0,False,0.3333333333333333,6,True,0,8,00038-s8401-parcel-h8-route-lower_recovery
full_hierarchy,8,parcel,8401,route,9.5,0.0,False,0.3333333333333333,6,True,0,8,00039-s8401-parcel-h8-route-full_hierarchy
open_loop,8,parcel,8401,topology,7.0,3.0,True,1.0,0,True,0,7,00040-s8401-parcel-h8-topology-open_loop
live_memory,8,parcel,8401,topology,7.0,0.0,True,1.0,0,True,0,7,00041-s8401-parcel-h8-topology-live_memory
lower_recovery,8,parcel,8401,topology,7.0,0.0,True,1.0,0,True,0,7,00042-s8401-parcel-h8-topology-lower_recovery
full_hierarchy,8,parcel,8401,topology,7.0,0.0,True,1.0,0,True,0,7,00043-s8401-parcel-h8-topology-full_hierarchy
open_loop,8,parcel,8401,constraint,6.0,2.5,True,1.0,0,False,0,6,00044-s8401-parcel-h8-constraint-open_loop
live_memory,8,parcel,8401,constraint,6.0,0.0,True,1.0,0,False,0,6,00045-s8401-parcel-h8-constraint-live_memory
lower_recovery,8,parcel,8401,constraint,6.0,0.0,True,1.0,0,False,0,6,00046-s8401-parcel-h8-constraint-lower_recovery
full_hierarchy,8,parcel,8401,constraint,9.75,0.0,False,0.3333333333333333,7,True,0,8,00047-s8401-parcel-h8-constraint-full_hierarchy
open_loop,8,parcel,8401,disturbance,8.0,3.5,False,0.3333333333333333,0,True,0,8,00048-s8401-parcel-h8-disturbance-open_loop
live_memory,8,parcel,8401,disturbance,8.0,0.0,False,0.3333333333333333,0,True,0,8,00049-s8401-parcel-h8-disturbance-live_memory
lower_recovery,8,parcel,8401,disturbance,8.0,0.0,False,0.3333333333333333,0,True,0,8,00050-s8401-parcel-h8-disturbance-lower_recovery
full_hierarchy,8,parcel,8401,disturbance,8.0,0.0,False,0.3333333333333333,0,True,0,8,00051-s8401-parcel-h8-disturbance-full_hierarchy
open_loop,8,parcel,8401,intervention,8.0,3.5,False,0.3333333333333333,0,True,0,8,00052-s8401-parcel-h8-intervention-open_loop
live_memory,8,parcel,8401,intervention,8.0,0.0,False,0.3333333333333333,0,True,0,8,00053-s8401-parcel-h8-intervention-live_memory
lower_recovery,8,parcel,8401,intervention,8.75,0.0,False,0.3333333333333333,3,True,0,8,00054-s8401-parcel-h8-intervention-lower_recovery
full_hierarchy,8,parcel,8401,intervention,6.5,0.0,True,1.0,0,True,1,6,00055-s8401-parcel-h8-intervention-full_hierarchy
open_loop,8,parcel,8401,paraphrase,8.0,3.5,False,0.0,0,True,0,8,00056-s8401-parcel-h8-paraphrase-open_loop
live_memory,8,parcel,8401,paraphrase,6.0,0.0,True,1.0,0,True,0,6,00057-s8401-parcel-h8-paraphrase-live_memory
lower_recovery,8,parcel,8401,paraphrase,6.0,0.0,True,1.0,0,True,0,6,00058-s8401-parcel-h8-paraphrase-lower_recovery
full_hierarchy,8,parcel,8401,paraphrase,6.0,0.0,True,1.0,0,True,0,6,00059-s8401-parcel-h8-paraphrase-full_hierarchy
open_loop,8,parcel,8401,novelty,8.0,3.5,False,0.3333333333333333,0,True,0,8,00060-s8401-parcel-h8-novelty-open_loop
live_memory,8,parcel,8401,novelty,8.0,0.0,False,0.3333333333333333,0,True,0,8,00061-s8401-parcel-h8-novelty-live_memory
lower_recovery,8,parcel,8401,novelty,9.5,0.0,False,0.3333333333333333,6,True,0,8,00062-s8401-parcel-h8-novelty-lower_recovery
full_hierarchy,8,parcel,8401,novelty,7.0,0.0,True,1.0,0,True,0,7,00063-s8401-parcel-h8-novelty-full_hierarchy
